YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 08 21 286  9.5 11.5  4.07 16.67 10.96 999 1018.0  13.4  12.6 999.0 99.0 99.00
2002 01 08 22 300  8.9 10.7  3.84 16.67 10.16 999 1017.5  13.2  12.6 999.0 99.0 99.00
2002 01 08 23 334  6.2  7.6  3.84 16.67  9.68 999 1017.4  13.0  12.6 999.0 99.0 99.00
2002 01 09 00 308  6.7  8.4  3.87 16.67 10.06 999 1017.6  12.9  12.6 999.0 99.0 99.00
2002 01 09 01 315  6.3  8.1  3.79 16.67  9.67 999 1017.3  12.9  12.6 999.0 99.0 99.00
2002 01 09 02 316  6.1  8.0  3.91 16.67 10.62 999 1017.6  12.8  12.6 999.0 99.0 99.00
2002 01 09 03 337  5.6  6.9  4.55 16.67 11.68 999 1017.4  11.8  12.6 999.0 99.0 99.00
2002 01 09 04 305  6.9  9.3  4.68 16.67 12.00 999 1017.4  11.8  12.6 999.0 99.0 99.00
2002 01 09 05 302 10.0 11.8  4.84 16.67 12.03 999 1017.4  12.2  12.6 999.0 99.0 99.00
2002 01 09 06 313  8.3 10.7  5.52 16.67 12.28 999 1017.8  12.1  12.6 999.0 99.0 99.00
2002 01 09 07 316  9.3 11.8  4.97 16.67 11.06 999 1017.6  12.1  12.6 999.0 99.0 99.00
2002 01 09 08 312  9.8 13.0  4.36 16.67 10.28 999 1017.3  12.1  12.6 999.0 99.0 99.00
2002 01 09 09 319 10.5 13.1  4.87 20.00 10.59 999 1017.0  12.2  12.5 999.0 99.0 99.00
2002 01 09 10 315 11.4 14.3  4.57 16.67 10.04 999 1016.7  12.2  12.5 999.0 99.0 99.00
2002 01 09 11 315 10.8 13.2  4.50 16.67  9.89 999 1016.5  12.1  12.5 999.0 99.0 99.00
2002 01 09 12 319 11.0 13.6  4.37 16.67  9.03 999 1016.0  11.8  12.5 999.0 99.0 99.00
2002 01 09 13 318  9.3 11.5  4.39 16.67  9.11 999 1016.0  11.7  12.5 999.0 99.0 99.00
2002 01 09 14 306 11.7 14.9  4.53 16.67  9.19 999 1016.4  12.1  12.5 999.0 99.0 99.00
2002 01 09 15 320  9.9 12.2  4.11 16.67  8.56 999 1017.3  12.1  12.2 999.0 99.0 99.00
2002 01 09 16 316  9.8 11.9  4.31 14.29  8.92 999 1017.8  11.8  12.2 999.0 99.0 99.00
2002 01 09 17 322  9.4 11.4  4.41 16.67  9.11 999 1018.3  12.0  12.2 999.0 99.0 99.00
2002 01 09 18 321  9.8 11.8  4.50 16.67  9.45 999 1019.0  12.1  12.1 999.0 99.0 99.00
2002 01 09 19 328 10.0 12.5  4.24 16.67  8.79 999 1019.1  12.1  12.2 999.0 99.0 99.00
2002 01 09 20 320  9.9 12.3  4.67 16.67  9.32 999 1018.5  12.0  12.2 999.0 99.0 99.00
2002 01 09 21 325  9.8 11.8  4.72 16.67  9.61 999 1017.4  12.0  12.5 999.0 99.0 99.00
2002 01 09 22 315  9.5 12.2  5.14 16.67  9.81 999 1017.6  12.1  12.5 999.0 99.0 99.00
2002 01 09 23 316  9.4 11.5  4.94 16.67  9.79 999 1017.5  12.0  12.5 999.0 99.0 99.00
2002 01 10 00 311 10.8 13.5  5.37 16.67 10.41 999 1017.6  11.8  12.5 999.0 99.0 99.00
2002 01 10 01 318 11.5 14.4  4.92 16.67  9.40 999 1017.5  11.8  12.5 999.0 99.0 99.00
2002 01 10 02 328 10.5 13.1  5.05 16.67  9.55 999 1018.1  11.8  12.5 999.0 99.0 99.00
2002 01 10 03 321 11.6 14.0  5.00 16.67  9.24 999 1019.0  11.7  12.5 999.0 99.0 99.00
2002 01 10 04 324 11.8 14.4  4.53 16.67  9.01 999 1018.9  11.7  12.2 999.0 99.0 99.00
2002 01 10 05 329 10.1 12.5  3.85 14.29  8.26 999 1019.5  11.4  12.2 999.0 99.0 99.00
2002 01 10 06 330  8.8 10.6  4.42 14.29  9.11 999 1020.3  11.8  12.2 999.0 99.0 99.00
2002 01 10 07 318  9.7 12.5  3.84 16.67  8.48 999 1020.9  11.8  12.2 999.0 99.0 99.00
2002 01 10 08 318 11.1 13.6  3.98 16.67  8.26 999 1021.0  11.7  12.2 999.0 99.0 99.00
2002 01 10 09 321 11.2 14.3  3.78 16.67  7.81 999 1020.8  11.7  12.5 999.0 99.0 99.00
2002 01 10 10 338  9.3 11.1  4.24 14.29  8.53 999 1020.5  11.8  12.5 999.0 99.0 99.00
2002 01 10 11 360  7.5  9.5  3.46 14.29  7.74 999 1020.6  11.8  12.5 999.0 99.0 99.00
2002 01 10 12 356  4.0  5.0  3.40 14.29  8.28 999 1019.9  11.8  12.5 999.0 99.0 99.00
2002 01 10 13 296  3.1  4.8  3.06 14.29  8.61 999 1019.9  11.8  12.2 999.0 99.0 99.00
2002 01 10 14 264  4.5  5.8  3.03 16.67  8.79 999 1020.5  11.8  12.2 999.0 99.0 99.00
2002 01 10 15 272  4.4  6.2  3.03 14.29  8.47 999 1021.1  12.1  12.4 999.0 99.0 99.00
2002 01 10 16 292  3.5  4.6  2.56 14.29  8.16 999 1021.7  12.1  12.2 999.0 99.0 99.00
2002 01 10 17 275  3.6  4.8  2.76 14.29  8.59 999 1022.2  12.0  12.1 999.0 99.0 99.00
2002 01 10 18   4  3.7  4.3  3.01 14.29  8.74 999 1023.0  12.2  12.1 999.0 99.0 99.00
