YYYY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 09 01 50 999 99.0 99.0  4.88 10.81  7.55 274 1025.9   6.8   9.0 999.0 99.0 99.00
2009 01 09 02 50 999 99.0 99.0 99.00 99.00 99.00 999 1026.8   6.9   8.8 999.0 99.0 99.00
2009 01 09 03 50 999 99.0 99.0 99.00 99.00 99.00 999 1027.9   6.9   8.6 999.0 99.0 99.00
2009 01 09 04 50 999 99.0 99.0  4.75 12.12  8.06 273 1028.7   6.8   8.6 999.0 99.0 99.00
2009 01 09 05 50 999 99.0 99.0  4.91 12.12  8.46 268 1029.7   6.9   8.6 999.0 99.0 99.00
2009 01 09 06 50 999 99.0 99.0  4.41 12.12  8.10 268 1030.9   6.7   8.5 999.0 99.0 99.00
2009 01 09 07 50 999 99.0 99.0  4.17 10.81  8.18 274 1031.8   6.8   8.4 999.0 99.0 99.00
2009 01 09 08 50 999 99.0 99.0  3.92 11.43  8.11 264 1032.4   6.8   8.1 999.0 99.0 99.00
2009 01 09 09 50 999 99.0 99.0  3.68 12.12  7.79 260 1033.2   6.9   8.1 999.0 99.0 99.00
2009 01 09 10 50 999 99.0 99.0  3.66 10.81  8.11 274 1034.3   6.9   8.0 999.0 99.0 99.00
2009 01 09 11 50 999 99.0 99.0  3.78 10.81  8.17 275 1034.8   7.0   8.0 999.0 99.0 99.00
2009 01 09 12 50 999 99.0 99.0  3.41 10.81  7.98 282 1034.3   6.9   7.9 999.0 99.0 99.00
2009 01 09 13 50 999 99.0 99.0  3.47 12.12  8.27 263 1034.2   6.9   7.9 999.0 99.0 99.00
2009 01 09 14 50 999 99.0 99.0  3.50 11.43  8.40 271 1035.1   7.1   7.8 999.0 99.0 99.00
2009 01 09 15 50 999 99.0 99.0  3.31 12.12  8.40 268 1034.9   7.3   7.8 999.0 99.0 99.00
2009 01 09 16 50 999 99.0 99.0  3.26 12.12  8.42 270 1034.7   7.4   7.9 999.0 99.0 99.00
2009 01 09 17 50 999 99.0 99.0  2.80 11.43  7.69 269 1035.2   7.5   8.0 999.0 99.0 99.00
2009 01 09 18 50 999 99.0 99.0  2.95 10.81  7.79 267 1035.1   7.6   8.1 999.0 99.0 99.00
2009 01 09 19 50 999 99.0 99.0  2.78 10.81  7.41 267 1035.4   7.1   8.1 999.0 99.0 99.00
