YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 10 06 145  1.0  1.8  2.54 11.11  7.80 257 1022.7  13.6  13.3 999.0 99.0 99.00
2004 01 10 07 153  1.3  2.4  2.31 11.11  7.93 238 1023.1  13.6  13.3 999.0 99.0 99.00
2004 01 10 08 197  1.7  2.4  2.65 11.11  8.51 260 1022.9  13.4  13.3 999.0 99.0 99.00
2004 01 10 09 225  1.7  2.4  2.33 11.11  8.13 253 1022.6  13.4  13.3 999.0 99.0 99.00
2004 01 10 10  38  1.1  1.8  2.08 11.11  7.83 263 1022.5  13.3  13.3 999.0 99.0 99.00
2004 01 10 11  48  0.6  1.5  2.32 11.11  7.89 254 1022.0  13.1  13.3 999.0 99.0 99.00
2004 01 10 12 102  0.7  1.6  2.41 11.11  8.23 260 1021.4  12.9  13.3 999.0 99.0 99.00
2004 01 10 13  62  1.4  2.7  2.42 11.11  8.36 261 1021.1  12.9  13.3 999.0 99.0 99.00
2004 01 10 14 105  0.7  1.9  2.64 11.11  8.46 260 1021.1  13.3  13.3 999.0 99.0 99.00
2004 01 10 15  22  1.0  1.8  2.54 11.11  8.39 263 1021.1  13.3  13.3 999.0 99.0 99.00
2004 01 10 16  85  0.2  1.0  2.86 10.00  8.64 258 1021.0  13.4  13.3 999.0 99.0 99.00
2004 01 10 17   7  0.2  0.9  2.32 11.11  7.87 261 1021.1  14.1  13.3 999.0 99.0 99.00
2004 01 10 18 330  0.4  1.1  2.57 11.11  8.08 265 1021.2  14.2  13.3 999.0 99.0 99.00
2004 01 10 19 283  1.0  1.9  3.07 11.11  8.64 259 1020.9  14.4  13.4 999.0 99.0 99.00
